cohort_id,cohort_version,member_count,structural_root,human_decision,target_organization_id,evidence_reference,reviewer_1,reviewer_2,reviewed_at,decision_status,decision_version,predecessor_decision_id,decision_id
root:Customer:1,2,1,Customer:1,,,,,,,PENDING,,,
root:CustomerGamification:1,2,1,CustomerGamification:1,,,,,,,PENDING,,,
root:CustomerGamification:2,2,1,CustomerGamification:2,,,,,,,PENDING,,,
root:CustomerGamification:3,2,1,CustomerGamification:3,,,,,,,PENDING,,,
root:CustomerGamification:4,2,1,CustomerGamification:4,,,,,,,PENDING,,,
root:CustomerGamification:5,2,1,CustomerGamification:5,,,,,,,PENDING,,,
root:CustomerGamification:6,2,1,CustomerGamification:6,,,,,,,PENDING,,,
root:ReferralAutoAssignState:1,2,1,ReferralAutoAssignState:1,,,,,,,PENDING,,,
root:ShipmentRequest:82,2,2,ShipmentRequest:82,,,,,,,PENDING,,,
root:ShipmentRequest:83,2,10,ShipmentRequest:83,,,,,,,PENDING,,,
root:ShipmentRequest:84,2,17,ShipmentRequest:84,,,,,,,PENDING,,,
root:ShipmentRequest:85,2,5,ShipmentRequest:85,,,,,,,PENDING,,,
root:ShipmentRequest:86,2,5,ShipmentRequest:86,,,,,,,PENDING,,,
root:ShipmentRequest:87,2,15,ShipmentRequest:87,,,,,,,PENDING,,,
root:ShipmentRequest:88,2,5,ShipmentRequest:88,,,,,,,PENDING,,,
root:ShipmentRequest:89,2,13,ShipmentRequest:89,,,,,,,PENDING,,,
root:ShipmentRequest:90,2,17,ShipmentRequest:90,,,,,,,PENDING,,,
root:ShipmentRequest:91,2,5,ShipmentRequest:91,,,,,,,PENDING,,,
root:ShipmentRequest:92,2,5,ShipmentRequest:92,,,,,,,PENDING,,,
root:ShipmentRequest:93,2,20,ShipmentRequest:93,,,,,,,PENDING,,,
root:ShipmentRequest:94,2,7,ShipmentRequest:94,,,,,,,PENDING,,,
individual:DocumentAuditEvent:1,2,1,,,,,,,,PENDING,,,
