cohort_id,cohort_type,member_count,structural_class,structural_root,human_decision,target_organization_id,evidence_reference,reviewer_1,reviewer_2,reviewed_at,decision_status,decision_version,predecessor_decision_id,decision_id
single:CaseDocumentRequirement:1,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:CaseDocumentRequirement:2,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:Customer:1,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:CustomerGamification:1,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:CustomerGamification:2,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:CustomerGamification:3,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:CustomerGamification:4,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:CustomerGamification:5,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:CustomerGamification:6,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:DocumentAuditEvent:1,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:DocumentAuditEvent:2,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:DocumentAuditEvent:3,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:77,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:78,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:79,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:80,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:81,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:82,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:83,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:84,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:85,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:86,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:87,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:88,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:89,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:90,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:91,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:92,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:93,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:94,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:95,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:96,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:97,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:98,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:99,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:100,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:101,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:102,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:103,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:104,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleLog:105,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:48,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:49,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:50,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:51,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:52,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:53,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:54,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:55,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:56,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:57,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:58,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:59,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:60,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:61,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:62,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:63,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:64,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:65,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:66,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:67,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:68,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:69,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:70,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:71,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:72,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:73,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:74,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:75,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertConsoleNotification:76,SINGLE_MEMBER_FAIL_CLOSED,1,CONDITIONAL_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertQuote:4,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertQuote:5,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ExpertQuote:6,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAssignmentLog:8,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAssignmentLog:9,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAssignmentLog:10,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAssignmentLog:11,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAssignmentLog:12,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAssignmentLog:13,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAssignmentLog:14,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAssignmentLog:15,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAssignmentLog:16,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAssignmentLog:17,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAssignmentLog:18,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAssignmentLog:19,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ReferralAutoAssignState:1,SINGLE_MEMBER_FAIL_CLOSED,1,PLATFORM_OR_SINGLETON_REDESIGN,,,,,,,,PENDING,,,
single:ShipmentRequest:82,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequest:83,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequest:84,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequest:85,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequest:86,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequest:87,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequest:88,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequest:89,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequest:90,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequest:91,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequest:92,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequest:93,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
