entity_type,entity_id,classification,quarantine_status,mapping_status,organization_candidate_count,human_decision,allowed_human_decisions,target_organization_id,evidence_reference,active_inactive_disposition,decision_reason,reviewer_1,reviewer_2,reviewed_at,decision_status,decision_version,predecessor_decision_id,decision_id
CaseDocumentRequirement,1,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
CaseDocumentRequirement,2,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
Customer,1,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
CustomerGamification,1,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
CustomerGamification,2,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
CustomerGamification,3,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
CustomerGamification,4,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
CustomerGamification,5,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
CustomerGamification,6,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
DocumentAuditEvent,1,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
DocumentAuditEvent,2,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
DocumentAuditEvent,3,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleLog,77,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleLog,78,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleLog,79,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleLog,80,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
